Name,Address,Phone,Email,Website,ABN,Profession,InternshipOrInternships,ApprenticeshipOrApprenticeships,TraineeshipOrTraineeships,HROrHumanResources,JobOrJobs,CareerOrCareers,WorkPlacement,Employment,EmailCrawler,Error
Dazzling Disability Care,"Shops, 3 Carleton Street, Kambah, ACT 2902",0431 034 306,essydube@yahoo.com,,42619718400,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Activot Fitzroy,"180 Greenhill Rd, Parkside, SA 5063",0402 205 003,georgia@hondros.com.au,https://www.activot.com.au,30460252155,,NO,NO,NO,NO,NO,NO,NO,NO,,Request failed: Ignoring non-200 response
Claireleigh Mosman Pty Limited,"Unit 101, 8 Taylors Lane, Lane Cove North, NSW 2066",0404 143 568,ihashman@claireleigh.com.au,https://www.claireleigh.com.au,71160254955,,NO,NO,NO,NO,NO,NO,NO,NO,NA,
Society Healthcare Pty Ltd,"40 White Avenue, Maroubra, NSW 2035",0401 929 555,alvarezrosalinda@yahoo.com,,60662474320,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Burswood Nursing Care,"Valencia Nursing Care, 24 Valencia Road, Carmel, WA 6076",0420 958 914,valencianh@bigpond.com,https://www.roshana.com.au,20793685969,Disability Support Worker (includes Mental Health or Peer Worker),NO,NO,NO,NO,NO,YES,NO,YES,NA,
Abraham Ot Services Pty Ltd,"Unit 16, 26 Roberna Street, Moorabbin, VIC 3189",0418 143 881,vicki@aots.com.au,https://www.aots.com.au,53247359828,,NO,NO,NO,NO,NO,YES,NO,NO,admin@aots.com.au,
Fortitude Behavioural Consultants,"102 Annandale Drive, Annandale, QLD 4814",0475 040 096,llorrac2014@gmail.com,,67714435818,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Just Better Care - Melbourne Bayside,"Unit 1, 44 Balcombe Road, Mentone, VIC 3194",03 9596 2444,mailmb@justbettercare.com,https://www.justbettercare.com/melbourne-bayside,59830498954,,NO,NO,NO,NO,YES,YES,NO,NO,NA,
#enabled4life Ndis Plan Management,"River Gum Close, Mooloolah Valley, QLD 4553",1300 667 454,engagement@enabled4life.com.au,https://www.enabled4life.com.au,91636315930,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
Complete Care Plan Management,"Lot 3, 21 Avondale Road, Pitt Town, NSW 2756",0418 278 956,ccplan@outlook.com,,39379076852,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Alliance Plan Management Services,"400 Newmarket Road, Newmarket, QLD 4051",1800 161 191,hello@allianceplanmanagement.com.au,https://www.allianceplanmanagement.com.au,71524868339,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"accounts@allianceplanmanagement.com.au, hello@allianceplanmanagement.com.au",
Hr Direct Pty Ltd,"22 Anchorage Avenue, Safety Beach, VIC 3936",0414 671 513,ian.lowles5@icloud.com,,61149554843,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Central Bayside Community Health Service,"31, Venice Street, Mentone, VIC 3194",03 9581 8500,,https://www.cbchs.org.au,50362120798,"Disability Support Worker (includes Mental Health or Peer Worker), Welfare Worker",NO,NO,NO,NO,YES,YES,NO,NO,NA,
Auz Plan Manager,"44 Osprey Avenue, Green Valley, NSW 2168",0424 690 968,arishma.live@gmail.com,,41667540914,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Idv,"88 Mcnamara Street, Macleod, VIC 3085",03 9459 8175,info@idv.com.au,https://www.idv.com.au,18018123440,,NO,NO,NO,NO,YES,NO,NO,YES,NA,
Dietitian Sj,"3 Woodcroft Drive, Woodcroft, NSW 2767",0433 201 678,sallyjuan.dieitian@gmail.com,https://www.dietitiansj.com.au,31857901572,Dietician,NO,NO,NO,NO,NO,NO,NO,NO,"88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com, 0e6a29e4756740a8a63493e912ba2174@sentry.wixpress.com, 460ff4620fa44cba8df530afde949785@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 98b21aa53d68482b8414e892d9af0e5f@sentry-next.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, baf30a2b91654c5a840931f0137bed30@sentry.wixpress.com, f36cc48fb72b4d298c835f2793cf3b84@sentry-next.wixpress.com",
Health & Community Solutions Pty Ltd,,0438 636 041,contact@healthandcommunitysolutions.com.au,https://www.healthandcommunitysolutions.com.au,49612961896,,NO,NO,NO,NO,NO,NO,NO,NO,"clientsupport@healthandcommunitysolutions.com.au, contact@healthandcommunitysolutions.com.au",
Aegis Aged Care Group Pty Ltd,"95 Lakes Road, Greenfields, WA 6210",0439 335 564,geoff@aegiscare.com.au,https://www.aegiscare.com.au,16009048784,Disability Support Worker (includes Mental Health or Peer Worker),NO,NO,NO,NO,YES,YES,NO,NO,NA,
#enabled4life Ndis Plan Management,"Kullaiba Road, Kotara, NSW 2289",1300 667 454,engagement@enabled4life.com.au,https://www.enabled4life.com.au,91636315930,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
Albany Halfway House Association Inc,"142 Aberdeen Street, Albany, WA 6330",08 9842 2612,hello@gsaha.org.au,https://www.gsaha.org.au,32371845303,,NO,NO,NO,NO,NO,NO,NO,NO,hello@gsaha.org.au,
Ampe Services Pty Ltd,"4 King Street, Campbelltown, NSW 2560",0432 164 324,alice.gleeson1@ampeservices.com.au,https://www.ampeservices.com.au,91623497307,Other,NO,NO,NO,NO,NO,NO,NO,NO,info@ampeservices.com.au,
Autism Queensland Limited,"College St Stephens, 803 Glenlyon Road, Glen Eden, QLD 4680",07 4977 9600,gladstone@autismqld.com.au,https://www.autismqld.com.au,79253351418,"Disability Support Worker (includes Mental Health or Peer Worker), Occupational Therapist, Other Health Professional, Speech Pathologist, Teacher",NO,NO,NO,NO,YES,YES,NO,YES,NA,
#enabled4life Ndis Plan Management,"Maitland, Maitland, NSW 2320",1300 667 454,supportservices@enabled4life.com.au,https://www.enabled4life.com.au,91636315930,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
Acclaimed Community Support Services,"Level 2, 1-3 Janefield Drive, Bundoora, VIC 3083",03 8564 8595,info@acclaimedcss.com.au,https://www.acclaimedcss.com.au,79663019583,,NO,NO,NO,NO,NO,NO,NO,NO,info@acclaimedcss.com.au,
